author,date,address,bank,rating,review_title_by_user,review,bank_image,rating_title_by_user,useful_count,clean_review,review_length,sentiment
R  PRASANNA,2020-03-19,Chennai,HDFC Bank,4.0,"""Best  Service""",I have Hdfc bank salary account for the past 3 to 4 years . I am using mobile  banking service is used for all transactions and money transfer .If contact customer service for any query then wil be getting good response .I am satisfied with the overall banking service .,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Great!,24,i have hdfc bank salary account for the past 3 to 4 years i am using mobile banking service is used for all transactions and money transfer if contact customer service for any query then wil be getting good response i am satisfied with the overall banking service,48,Satisfied
MUN,2020-03-19,Hyderabad,SBI,5.0,"""Need to provide more offers""","I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,17,i maintain salary cum saving account with sbi on 2015 my company has suggested to opened an account need to maintain a minimum balance of 3k there is no hidden charge on quarter basis sms charge is applicable of 12 15 rupees atm charges are applicable if i cross more than 5 times in a month of 40 rupees,59,Satisfied
R,2020-03-19,Bangalore,Unknown,5.0,"""Good bank """,Standard Chartered Bank has a very good app and i am using this account more than 9 years. This is a salary comes savings account so need to maintain minimum balance and the customer service is very very good.  I am continuously getting offer messages from bank.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,23,standard chartered bank has a very good app and i am using this account more than 9 years this is a salary comes savings account so need to maintain minimum balance and the customer service is very very good i am continuously getting offer messages from bank,47,Satisfied
JHA,2020-03-18,Darbhanga,IndusInd Bank,4.0,"""Good saving account """,I maintain a saving account with INDUSIND for the past 1 year. I no need to maintain a minimum balance account. Since my friend is working as a executive and he has recommend to open an account with them. Hence I chosen it. I use this account for the transaction. I use to get offers message from their end.,https://static.bankbazaar.com/images/common/bank-logo/indusind.png,Great!,20,i maintain a saving account with indusind for the past 1 year i no need to maintain a minimum balance account since my friend is working as a executive and he has recommend to open an account with them hence i chosen it i use this account for the transaction i use to get offers message from their end,59,Satisfied
RA,2020-03-18,Darbhanga,Axis Bank,4.5,"""Good card """,AXIS has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well. ATM and branch services are good. Whenever they provide offers I use to get by message.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Excellent!,9,axis has given an option to maintain a account with them and i am holding for past 12 years on yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well atm and branch services are good whenever they provide offers i use to get by message,55,Satisfied
AY,2020-03-18,Jaipur,SBI,4.0,"""Apart private bank, atleast we should have SBI account ""","Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,15,since 11 years i am using this sbi account which am very convenient i received an offer for a zero balance account and the atm facilities are near the customer service was good even the responses are proper at the branch and am okay with the interest rate too,49,Satisfied
AKSHAY  JAIN,2020-03-18,Jaipur,HDFC Bank,4.0,"""Good account ""","I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Great!,9,i am holding salary account with hdfc bank for the past 78 months since its this a salary account no need to maintain a minimum balance amount i am not using atm since i have paytm service and mobile app which are quite easy to access when ever i log into it am getting a blank screen that need to be changed the customer service is good and responding properly,70,Satisfied
AK,2020-03-18,Jaipur,Kotak,5.0,"""Its a good account """,I have opened my savings account from Kotak Mahindra bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.,https://static.bankbazaar.com/images/common/bank-logo/kotak.png,Blown Away!,17,i have opened my savings account from kotak mahindra bank more than 25 years and am making all transaction through this bank account they have provided me a zero balance account i can find their branchs in all the places they are not taking any kind of hidden charges,49,Satisfied
K,2020-03-18,Chennai,HDFC Bank,5.0,"""Best savings account""",My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,9,my salary account is maintained with hdfc bank for nearly 10 years and till now there was no issues its a friendly bank according to my experience i am using the online service which is very good their customer service was good but fixed deposit interest rates was less,49,Satisfied
ANONYMOUS,2020-03-18,Bangalore,SBI,3.0,"""Need to decrease interest charge""","I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Satisfactory,13,i have been using saving account with sbi for the past 7 years i have visited the branch to open an account but their service is not much satisfied i need to maintain a minimum balance of 2k on monthly basis if not charges are applicable which is high there is some hidden charge they use to detect some amount on quarterly,62,Average
V,2020-03-18,Hyderabad,Unknown,5.0,"""Best account""",I am doing all my transactions with Indian bank and this branch is near to my residence. I am keeping minimum balance of Rs. 1000 and i have not faced any issues till now. Indian Bank has a very good customer service and this savings account has a normal rate of interest.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,13,i am doing all my transactions with indian bank and this branch is near to my residence i am keeping minimum balance of rs 1000 and i have not faced any issues till now indian bank has a very good customer service and this savings account has a normal rate of interest,52,Satisfied
V,2020-03-18,Hyderabad,SBI,4.0,"""Good ""","I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,11,i am maintaining my savings account with sbi i have been using more than 10 years this is only savings account so i need to maintain minimum balance of rs 1000 for cash withdrawal shopping i am receiving alert message and this bank has a very good app i didnt interact with the customer service till date rest all good with this bank,63,Satisfied
ANONYMOUS,2020-03-18,Bangalore,HDFC Bank,5.0,"""Need to provide other product offer """,I use to get my salary from HDFC bank because my company has given an option only from this bank. I am using this account past 5 years. So far I haven't faced any additional or hidden charge. No need to maintain a minimum balance account. ATM charges are applicable if I done a transactions  more than 5 times in a month.  I would suggest to provide more product offer.,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,10,i use to get my salary from hdfc bank because my company has given an option only from this bank i am using this account past 5 years so far i havent faced any additional or hidden charge no need to maintain a minimum balance account atm charges are applicable if i done a transactions more than 5 times in a month i would suggest to provide more product offer,70,Satisfied
SHAN,2020-03-17,Chennai,Kotak,4.0,"""Good """,I maintain my savings account  with KOTAK bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.,https://static.bankbazaar.com/images/common/bank-logo/kotak.png,Great!,17,i maintain my savings account with kotak bank for more than 2 years there is no hidden charges in this bank when i visit online at that time i came to know this bank has offered a zero balance account so i chosen it i am not getting any offers message from bank end,54,Satisfied
HAM,2020-03-17,Chennai,Unknown,4.0,"""Good """,I am holding a saving account with INDIAN BANK for more than 5 years. For my personal need I had opened an account with this bank but the branch is not near to reach them. I need to maintain a minimum balance of 500 rupees. I use to get an alert messages from bank whenever I do a transactions but not getting any offer message.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,14,i am holding a saving account with indian bank for more than 5 years for my personal need i had opened an account with this bank but the branch is not near to reach them i need to maintain a minimum balance of 500 rupees i use to get an alert messages from bank whenever i do a transactions but not getting any offer message,65,Satisfied
MUGAN,2020-03-17,Chennai,Unknown,4.0,"""Good account """,My company has given an option to open a salary account  with STANDARD CHARTERED BANK and I maintain this account just 8 months. It is a  zero balance account. I am using mobile app and it is user friendly to access. Branches are bit far away from my place to reach them. I am not getting any offers message.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,15,my company has given an option to open a salary account with standard chartered bank and i maintain this account just 8 months it is a zero balance account i am using mobile app and it is user friendly to access branches are bit far away from my place to reach them i am not getting any offers message,59,Satisfied
GA,2020-03-17,Bangalore,SBI,4.0,"""Good account """,Past 9 years I maintain my saving account with SBI. The branch and ATM services are fine. Whenever contact the customer service is good and responsive. I use to get offer message from their end. So far there is no any hidden charge in this account. Though its saving account I no need to maintain a minimum balance amount.,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,10,past 9 years i maintain my saving account with sbi the branch and atm services are fine whenever contact the customer service is good and responsive i use to get offer message from their end so far there is no any hidden charge in this account though its saving account i no need to maintain a minimum balance amount,59,Satisfied
,2020-03-17,Bangalore,Unknown,4.5,"""Good """,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Excellent!,15,i am holding a salary account from bank of baroda more than 7 years there is no hidden charges in this bank they have not provide an option to maintain a minimum balance i am using mobile app and net banking both are user friendly to access atm and branch services are good also near to reach them directly,59,Satisfied
PRAD,2020-03-17,Hyderabad,Canara Bank,3.0,"""Need to improve their service """,I am not getting an alert message from CANARA bank whenever I do a transaction from their end. So they need to provide better option to the customer to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years.,https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png,Satisfactory,23,i am not getting an alert message from canara bank whenever i do a transaction from their end so they need to provide better option to the customer to check the account balance details i use to visit branch and get good response from their end i am holding a saving account for the past 6 years,57,Average
KUMAR,2020-03-17,Hyderabad,HDFC Bank,5.0,"""Good """,I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,12,i maintain my salary cum saving account with hdfc bank for more than a year no need to maintain a minimum balance account so far there is no any hidden charges i can do transaction upto 40k i use mobile app and net banking service both are good on time i get alert message from bank for each transaction,59,Satisfied
S   ISMAIL,2020-03-16,Chennai,Unknown,4.0,"""Good Service""",I am  using Karur Vysya Bank saving account for the past  5 years only.I will receive email as well as message alert and customer service  is also good on this bank .If I contact them for any query giving good response and banking service is much comfortable .I am happy with the service as well.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,7,i am using karur vysya bank saving account for the past 5 years onlyi will receive email as well as message alert and customer service is also good on this bank if i contact them for any query giving good response and banking service is much comfortable i am happy with the service as well,55,Satisfied
D,2020-03-16,Chennai,Canara Bank,4.0,"""Good bank""","Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png,Great!,19,canara bank has a very good app and also internet banking is very user friendly this is a salary cums savings no need to maintain a minimum balance if i withdrawal cash or done shopping i am getting alert messages from bank end and they given me a domestic debit card,51,Satisfied
M,2020-03-16,Kolkata,Axis Bank,5.0,"""Good """,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,14,i am maintaining minimum balance of rs 250 gst for axis bank savings account and debit card since 5 years i am holding this account apart from this there is no hidden charges this bank has a good customer service and the rate of interest was nominal,47,Satisfied
M,2020-03-16,Kolkata,Unknown,4.0,"""Good saving account """,I am keeping minimum balance of Rs. 1000 for UNITED BANK OF INDIA. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,18,i am keeping minimum balance of rs 1000 for united bank of india since 12 years i am using this savings account and they given a domestic debit card this bank has a good application and their service was fine atm facilities is not good which is not nearby my place,51,Satisfied
SHEWALE,2020-03-16,Nasik,Unknown,4.0,"""Better service""","Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,12,last 7 years i have been using the salary account from yes bank and its a hassle free account to use they are not taking any hidden charges once i called the customer care for the debit card purpose and the response was good there is no extra charges for fund transfer like imps and neft their mobile banking service need to be improved,64,Satisfied
JOSEPH,2020-03-16,Chennai,Unknown,5.0,"""Best account""","For cash withdrawal, i am getting instantly alert messages from Indian Bank some times due to software problem i am unable to get messages. Since 16 years i am using this account, so no need to maintain minimum balance.  ATM facilities are near and debit card charges are applicable.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,11,for cash withdrawal i am getting instantly alert messages from indian bank some times due to software problem i am unable to get messages since 16 years i am using this account so no need to maintain minimum balance atm facilities are near and debit card charges are applicable,49,Satisfied
S,2020-03-16,Chennai,SBI,5.0,"""Best savings account""","SBI has a very good application, since i am using this savings account more than 7 years. No need to maintain minimum balance,  because this is a salary comes savings account. For cash withdrawal and all i am getting instantly alert text.  I am not getting any offer message from bank and their service was good.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,16,sbi has a very good application since i am using this savings account more than 7 years no need to maintain minimum balance because this is a salary comes savings account for cash withdrawal and all i am getting instantly alert text i am not getting any offer message from bank and their service was good,56,Satisfied
ANONYMOUS,2020-03-16,Chennai,Unknown,5.0,"""Good Bank""",I have opened the savings account from TNSC bank because its undertaken by state Government. I need to maintain a minimum balance of Rs. 1000. I have never applied the facility of mobile app and net banking. Bank response is good. They have taken almost 2 days to sent the debit card and cheque book to my residential address.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,8,i have opened the savings account from tnsc bank because its undertaken by state government i need to maintain a minimum balance of rs 1000 i have never applied the facility of mobile app and net banking bank response is good they have taken almost 2 days to sent the debit card and cheque book to my residential address,59,Satisfied
ANONYMOUS,2020-03-16,Chennai,Unknown,5.0,"""Excellent bank""",6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account. I don't need to maintain any minimum balance. Its best bank but branches are not available like other banks anyway i don't feel its big issue because all the facilities are available on their app and net banking.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,17,6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account i dont need to maintain any minimum balance its best bank but branches are not available like other banks anyway i dont feel its big issue because all the facilities are available on their app and net banking,64,Satisfied
G V N,2020-03-16,Chennai,HDFC Bank,5.0,"""Good customer service""","More than 8 years, i have been using the salary account from HDFC bank. I went to their branch for cash deposit or withdrawal and the response is good. Its a zero balance maintenance account. Their Internet banking facility and mobile app is user friendly. They don't charge me any hidden charges. There is charge of Rs. 5 for IMPS transactions.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,8,more than 8 years i have been using the salary account from hdfc bank i went to their branch for cash deposit or withdrawal and the response is good its a zero balance maintenance account their internet banking facility and mobile app is user friendly they dont charge me any hidden charges there is charge of rs 5 for imps transactions,61,Satisfied
R N S N,2020-03-16,Mahabubnagar,Unknown,4.0,"""Best savings account""","For the past 8 months, i have been using salary account with Andhra Bank and its been very good experience. They are giving 3.5% interest rate for savings account and its okay. I'm not using using mobile banking for checking balance and to do transactions. Their app is easy to access.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,8,for the past 8 months i have been using salary account with andhra bank and its been very good experience they are giving 35 interest rate for savings account and its okay im not using using mobile banking for checking balance and to do transactions their app is easy to access,51,Satisfied
S   PANCHAL,2020-03-15,New delhi,Unknown,5.0,"""Excellent Service""","I am using Syndicate bank salary account for the past  1.5 years with the net banking  service as well as mobile banking, these are good and I used to transfer money and also transaction history can be checked . Banking service is pretty good and customer service is also giving me good response if I contact them for any assistance.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,8,i am using syndicate bank salary account for the past 15 years with the net banking service as well as mobile banking these are good and i used to transfer money and also transaction history can be checked banking service is pretty good and customer service is also giving me good response if i contact them for any assistance,59,Satisfied
A S,2020-03-15,Mumbai,Unknown,4.0,"""Good""","From INDIAN Bank,  i am using savings account more than 3 months. This is salary comes savings and its a zero balance account but i am maintaining Rs. 500. This bank has a good app atm service are available near to my residency and their service was good.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,11,from indian bank i am using savings account more than 3 months this is salary comes savings and its a zero balance account but i am maintaining rs 500 this bank has a good app atm service are available near to my residency and their service was good,48,Satisfied
S,2020-03-15,Bangalore,SBI,5.0,"""Best account""",I have been holding an account for a saving with SBI for more than 5  years. There is no hidden charges in this bank. It is a zero balance account. I am not using mobile app and net banking and i am not getting an alert messages from bank whenever I do a transactions. ATMs and branches are near to reach them directly.,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,9,i have been holding an account for a saving with sbi for more than 5 years there is no hidden charges in this bank it is a zero balance account i am not using mobile app and net banking and i am not getting an alert messages from bank whenever i do a transactions atms and branches are near to reach them directly,63,Satisfied
