review,clean_review,bank,rating,sentiment
"I maintain salary cum saving account with SBI. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 rupees. ATM charges are applicable if I cross more than 5 times in a month of 40 rupees.",i maintain salary cum saving account with sbi on 2015 my company has suggested to opened an account need to maintain a minimum balance of 3k there is no hidden charge on quarter basis sms charge is applicable of 12 15 rupees atm charges are applicable if i cross more than 5 times in a month of 40 rupees,SBI,5.0,Satisfied
Standard Chartered Bank has a very good app and i am using this account more than 9 years. This is a salary comes savings account so need to maintain minimum balance and the customer service is very very good.  I am continuously getting offer messages from bank.,standard chartered bank has a very good app and i am using this account more than 9 years this is a salary comes savings account so need to maintain minimum balance and the customer service is very very good i am continuously getting offer messages from bank,Unknown,5.0,Satisfied
I maintain a saving account with INDUSIND for the past 1 year. I no need to maintain a minimum balance account. Since my friend is working as a executive and he has recommend to open an account with them. Hence I chosen it. I use this account for the transaction. I use to get offers message from their end.,i maintain a saving account with indusind for the past 1 year i no need to maintain a minimum balance account since my friend is working as a executive and he has recommend to open an account with them hence i chosen it i use this account for the transaction i use to get offers message from their end,IndusInd Bank,4.0,Satisfied
AXIS has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well. ATM and branch services are good. Whenever they provide offers I use to get by message.,axis has given an option to maintain a account with them and i am holding for past 12 years on yearly basis charge is applicable of 15 to 30 rupees and it will be reflecting in statement as well atm and branch services are good whenever they provide offers i use to get by message,Axis Bank,4.5,Satisfied
"Since 11 years, i am using this SBI account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",since 11 years i am using this sbi account which am very convenient i received an offer for a zero balance account and the atm facilities are near the customer service was good even the responses are proper at the branch and am okay with the interest rate too,SBI,4.0,Satisfied
"I am holding salary account with HDFC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",i am holding salary account with hdfc bank for the past 78 months since its this a salary account no need to maintain a minimum balance amount i am not using atm since i have paytm service and mobile app which are quite easy to access when ever i log into it am getting a blank screen that need to be changed the customer service is good and responding properly,HDFC Bank,4.0,Satisfied
I have opened my savings account from Kotak Mahindra bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.,i have opened my savings account from kotak mahindra bank more than 25 years and am making all transaction through this bank account they have provided me a zero balance account i can find their branchs in all the places they are not taking any kind of hidden charges,Kotak,5.0,Satisfied
My salary account is maintained with HDFC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,my salary account is maintained with hdfc bank for nearly 10 years and till now there was no issues its a friendly bank according to my experience i am using the online service which is very good their customer service was good but fixed deposit interest rates was less,HDFC Bank,5.0,Satisfied
"I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",i have been using saving account with sbi for the past 7 years i have visited the branch to open an account but their service is not much satisfied i need to maintain a minimum balance of 2k on monthly basis if not charges are applicable which is high there is some hidden charge they use to detect some amount on quarterly,SBI,3.0,Average
I am doing all my transactions with Indian bank and this branch is near to my residence. I am keeping minimum balance of Rs. 1000 and i have not faced any issues till now. Indian Bank has a very good customer service and this savings account has a normal rate of interest.,i am doing all my transactions with indian bank and this branch is near to my residence i am keeping minimum balance of rs 1000 and i have not faced any issues till now indian bank has a very good customer service and this savings account has a normal rate of interest,Unknown,5.0,Satisfied
"I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",i am maintaining my savings account with sbi i have been using more than 10 years this is only savings account so i need to maintain minimum balance of rs 1000 for cash withdrawal shopping i am receiving alert message and this bank has a very good app i didnt interact with the customer service till date rest all good with this bank,SBI,4.0,Satisfied
I use to get my salary from HDFC bank because my company has given an option only from this bank. I am using this account past 5 years. So far I haven't faced any additional or hidden charge. No need to maintain a minimum balance account. ATM charges are applicable if I done a transactions  more than 5 times in a month.  I would suggest to provide more product offer.,i use to get my salary from hdfc bank because my company has given an option only from this bank i am using this account past 5 years so far i havent faced any additional or hidden charge no need to maintain a minimum balance account atm charges are applicable if i done a transactions more than 5 times in a month i would suggest to provide more product offer,HDFC Bank,5.0,Satisfied
I maintain my savings account  with KOTAK bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.,i maintain my savings account with kotak bank for more than 2 years there is no hidden charges in this bank when i visit online at that time i came to know this bank has offered a zero balance account so i chosen it i am not getting any offers message from bank end,Kotak,4.0,Satisfied
I am holding a saving account with INDIAN BANK for more than 5 years. For my personal need I had opened an account with this bank but the branch is not near to reach them. I need to maintain a minimum balance of 500 rupees. I use to get an alert messages from bank whenever I do a transactions but not getting any offer message.,i am holding a saving account with indian bank for more than 5 years for my personal need i had opened an account with this bank but the branch is not near to reach them i need to maintain a minimum balance of 500 rupees i use to get an alert messages from bank whenever i do a transactions but not getting any offer message,Unknown,4.0,Satisfied
My company has given an option to open a salary account  with STANDARD CHARTERED BANK and I maintain this account just 8 months. It is a  zero balance account. I am using mobile app and it is user friendly to access. Branches are bit far away from my place to reach them. I am not getting any offers message.,my company has given an option to open a salary account with standard chartered bank and i maintain this account just 8 months it is a zero balance account i am using mobile app and it is user friendly to access branches are bit far away from my place to reach them i am not getting any offers message,Unknown,4.0,Satisfied
Past 9 years I maintain my saving account with SBI. The branch and ATM services are fine. Whenever contact the customer service is good and responsive. I use to get offer message from their end. So far there is no any hidden charge in this account. Though its saving account I no need to maintain a minimum balance amount.,past 9 years i maintain my saving account with sbi the branch and atm services are fine whenever contact the customer service is good and responsive i use to get offer message from their end so far there is no any hidden charge in this account though its saving account i no need to maintain a minimum balance amount,SBI,4.0,Satisfied
I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,i am holding a salary account from bank of baroda more than 7 years there is no hidden charges in this bank they have not provide an option to maintain a minimum balance i am using mobile app and net banking both are user friendly to access atm and branch services are good also near to reach them directly,Unknown,4.5,Satisfied
I am not getting an alert message from CANARA bank whenever I do a transaction from their end. So they need to provide better option to the customer to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years.,i am not getting an alert message from canara bank whenever i do a transaction from their end so they need to provide better option to the customer to check the account balance details i use to visit branch and get good response from their end i am holding a saving account for the past 6 years,Canara Bank,3.0,Average
I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,i maintain my salary cum saving account with hdfc bank for more than a year no need to maintain a minimum balance account so far there is no any hidden charges i can do transaction upto 40k i use mobile app and net banking service both are good on time i get alert message from bank for each transaction,HDFC Bank,5.0,Satisfied
I am  using Karur Vysya Bank saving account for the past  5 years only.I will receive email as well as message alert and customer service  is also good on this bank .If I contact them for any query giving good response and banking service is much comfortable .I am happy with the service as well.,i am using karur vysya bank saving account for the past 5 years onlyi will receive email as well as message alert and customer service is also good on this bank if i contact them for any query giving good response and banking service is much comfortable i am happy with the service as well,Unknown,4.0,Satisfied
"Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",canara bank has a very good app and also internet banking is very user friendly this is a salary cums savings no need to maintain a minimum balance if i withdrawal cash or done shopping i am getting alert messages from bank end and they given me a domestic debit card,Canara Bank,4.0,Satisfied
I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,i am maintaining minimum balance of rs 250 gst for axis bank savings account and debit card since 5 years i am holding this account apart from this there is no hidden charges this bank has a good customer service and the rate of interest was nominal,Axis Bank,5.0,Satisfied
I am keeping minimum balance of Rs. 1000 for UNITED BANK OF INDIA. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.,i am keeping minimum balance of rs 1000 for united bank of india since 12 years i am using this savings account and they given a domestic debit card this bank has a good application and their service was fine atm facilities is not good which is not nearby my place,Unknown,4.0,Satisfied
"Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",last 7 years i have been using the salary account from yes bank and its a hassle free account to use they are not taking any hidden charges once i called the customer care for the debit card purpose and the response was good there is no extra charges for fund transfer like imps and neft their mobile banking service need to be improved,Unknown,4.0,Satisfied
"For cash withdrawal, i am getting instantly alert messages from Indian Bank some times due to software problem i am unable to get messages. Since 16 years i am using this account, so no need to maintain minimum balance.  ATM facilities are near and debit card charges are applicable.",for cash withdrawal i am getting instantly alert messages from indian bank some times due to software problem i am unable to get messages since 16 years i am using this account so no need to maintain minimum balance atm facilities are near and debit card charges are applicable,Unknown,5.0,Satisfied
"SBI has a very good application, since i am using this savings account more than 7 years. No need to maintain minimum balance,  because this is a salary comes savings account. For cash withdrawal and all i am getting instantly alert text.  I am not getting any offer message from bank and their service was good.",sbi has a very good application since i am using this savings account more than 7 years no need to maintain minimum balance because this is a salary comes savings account for cash withdrawal and all i am getting instantly alert text i am not getting any offer message from bank and their service was good,SBI,5.0,Satisfied
I have opened the savings account from TNSC bank because its undertaken by state Government. I need to maintain a minimum balance of Rs. 1000. I have never applied the facility of mobile app and net banking. Bank response is good. They have taken almost 2 days to sent the debit card and cheque book to my residential address.,i have opened the savings account from tnsc bank because its undertaken by state government i need to maintain a minimum balance of rs 1000 i have never applied the facility of mobile app and net banking bank response is good they have taken almost 2 days to sent the debit card and cheque book to my residential address,Unknown,5.0,Satisfied
6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account. I don't need to maintain any minimum balance. Its best bank but branches are not available like other banks anyway i don't feel its big issue because all the facilities are available on their app and net banking.,6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account i dont need to maintain any minimum balance its best bank but branches are not available like other banks anyway i dont feel its big issue because all the facilities are available on their app and net banking,Unknown,5.0,Satisfied
"More than 8 years, i have been using the salary account from HDFC bank. I went to their branch for cash deposit or withdrawal and the response is good. Its a zero balance maintenance account. Their Internet banking facility and mobile app is user friendly. They don't charge me any hidden charges. There is charge of Rs. 5 for IMPS transactions.",more than 8 years i have been using the salary account from hdfc bank i went to their branch for cash deposit or withdrawal and the response is good its a zero balance maintenance account their internet banking facility and mobile app is user friendly they dont charge me any hidden charges there is charge of rs 5 for imps transactions,HDFC Bank,5.0,Satisfied
"For the past 8 months, i have been using salary account with Andhra Bank and its been very good experience. They are giving 3.5% interest rate for savings account and its okay. I'm not using using mobile banking for checking balance and to do transactions. Their app is easy to access.",for the past 8 months i have been using salary account with andhra bank and its been very good experience they are giving 35 interest rate for savings account and its okay im not using using mobile banking for checking balance and to do transactions their app is easy to access,Unknown,4.0,Satisfied
"I am using Syndicate bank salary account for the past  1.5 years with the net banking  service as well as mobile banking, these are good and I used to transfer money and also transaction history can be checked . Banking service is pretty good and customer service is also giving me good response if I contact them for any assistance.",i am using syndicate bank salary account for the past 15 years with the net banking service as well as mobile banking these are good and i used to transfer money and also transaction history can be checked banking service is pretty good and customer service is also giving me good response if i contact them for any assistance,Unknown,5.0,Satisfied
"From INDIAN Bank,  i am using savings account more than 3 months. This is salary comes savings and its a zero balance account but i am maintaining Rs. 500. This bank has a good app atm service are available near to my residency and their service was good.",from indian bank i am using savings account more than 3 months this is salary comes savings and its a zero balance account but i am maintaining rs 500 this bank has a good app atm service are available near to my residency and their service was good,Unknown,4.0,Satisfied
I have been holding an account for a saving with SBI for more than 5  years. There is no hidden charges in this bank. It is a zero balance account. I am not using mobile app and net banking and i am not getting an alert messages from bank whenever I do a transactions. ATMs and branches are near to reach them directly.,i have been holding an account for a saving with sbi for more than 5 years there is no hidden charges in this bank it is a zero balance account i am not using mobile app and net banking and i am not getting an alert messages from bank whenever i do a transactions atms and branches are near to reach them directly,SBI,5.0,Satisfied
"I have been with Standard chartered Bank for past 3 years. I have called the customer care to get the statements but it was not on time, they have provided after 2 to 3days. There is no annual fee for debit card. I use the online services which are okay, would suggest them to improve the application. And also its difficult to update the home address via online and couldn't apply for a new debit card, they need to improve these things.",i have been with standard chartered bank for past 3 years i have called the customer care to get the statements but it was not on time they have provided after 2 to 3days there is no annual fee for debit card i use the online services which are okay would suggest them to improve the application and also its difficult to update the home address via online and couldnt apply for a new debit card they need to improve these things,Unknown,3.0,Average
I am holding a savings with AXIS bank quite for a long time. There is no hidden charges in this bank. I am maintaining Rs. 10k minimum  balance account. I am using mobile app and Internet banking and it is user friendly to access. ATM and branches are near.,i am holding a savings with axis bank quite for a long time there is no hidden charges in this bank i am maintaining rs 10k minimum balance account i am using mobile app and internet banking and it is user friendly to access atm and branches are near,Axis Bank,5.0,Satisfied
"Since 12 years, i am using HDFC Bank savings account. This is a salary cums savings so no need to maintain minimum balance and this bank has a good app and user friendly. ATM facility is near and their service was good. When ever i do shopping i am getting instantly alert messages.",since 12 years i am using hdfc bank savings account this is a salary cums savings so no need to maintain minimum balance and this bank has a good app and user friendly atm facility is near and their service was good when ever i do shopping i am getting instantly alert messages,HDFC Bank,5.0,Satisfied
"I am using HDFC Bank Salary account for the past 8 years and the net banking, mobile banking service is good which I used to  check all  transactions details. Banking  service is also  comfortable and  good. Each transaction is safe  and using this account much frequently.",i am using hdfc bank salary account for the past 8 years and the net banking mobile banking service is good which i used to check all transactions details banking service is also comfortable and good each transaction is safe and using this account much frequently,HDFC Bank,5.0,Satisfied
"HDFC Bank i am maintaining savings account this is a salary cums savings so no need to maintain minimum balance. This bank has a good app is and its fine to use. When ever i withdrawal cash i am getting alert message instantly  , atm service is very near.",hdfc bank i am maintaining savings account this is a salary cums savings so no need to maintain minimum balance this bank has a good app is and its fine to use when ever i withdrawal cash i am getting alert message instantly atm service is very near,HDFC Bank,4.5,Satisfied
"Taken my savings account from CITI Bank and  i am using this account more than 10 years. The branch is available near to my home, i am using their online banking facility and its very good to use. They are not deducting any hidden charges and i need to maintain a minimum balance of Rs. 1L compulsory, need to decrease that.",taken my savings account from citi bank and i am using this account more than 10 years the branch is available near to my home i am using their online banking facility and its very good to use they are not deducting any hidden charges and i need to maintain a minimum balance of rs 1l compulsory need to decrease that,Citibank,5.0,Satisfied
"I have opened my savings account in Andhra Bank 8 years ago. My experience is very good and I like the customer support. Other things are also good. I need to maintain a minimum balance of 1500, if not they will not cover accidental and term insurance. I took International debit card.",i have opened my savings account in andhra bank 8 years ago my experience is very good and i like the customer support other things are also good i need to maintain a minimum balance of 1500 if not they will not cover accidental and term insurance i took international debit card,Unknown,5.0,Satisfied
"I am doing all my transactions through AXIS Bank. Its been 1.5 years, am using this savings account. Am keeping minimum balance on a monthly basis Rs.10k, if not they putting lots of charges. The branch is near by to my residence, once I went to the bank to link my Aadhar card.",i am doing all my transactions through axis bank its been 15 years am using this savings account am keeping minimum balance on a monthly basis rs10k if not they putting lots of charges the branch is near by to my residence once i went to the bank to link my aadhar card,Axis Bank,3.0,Average
My savings account is maintained with AXIS Bank and this is a salary cum savings no need to maintain minimum balance. AXIS Bank has a very good application but i am using it with other bank because this is only salary account.This bank has a good customer service.,my savings account is maintained with axis bank and this is a salary cum savings no need to maintain minimum balance axis bank has a very good application but i am using it with other bank because this is only salary accountthis bank has a good customer service,Axis Bank,5.0,Satisfied
"From SYNDICATE Bank, i am using savings account more than 10 years. I am keeping minimum balance of Rs. 1000 and their service was good. I am not receiving any offer messages from bank but i received calls several times for loan offer. ATM is near but facility is not good which needs to be improved.",from syndicate bank i am using savings account more than 10 years i am keeping minimum balance of rs 1000 and their service was good i am not receiving any offer messages from bank but i received calls several times for loan offer atm is near but facility is not good which needs to be improved,Unknown,4.0,Satisfied
"Since 40 years, i am using savings account from UCO Bank. This bank app is very good and their customer service was also good. I am maintaining minimum balance of Rs.1000 for cheque book account and ATM facility is available in walkable distance from home within 15minutes, I can reach. When ever i withdraw cash from ATM instantly getting alert messages.",since 40 years i am using savings account from uco bank this bank app is very good and their customer service was also good i am maintaining minimum balance of rs1000 for cheque book account and atm facility is available in walkable distance from home within 15minutes i can reach when ever i withdraw cash from atm instantly getting alert messages,Unknown,5.0,Satisfied
"Almost 40 years, i am using Indian Bank savings account because it was recommended and opened this account when i was in young age. They are handling the customer very well. I need hold a minimum balance of Rs. 1000. Their ATM facility is available in all the places. I have not faced any troubles from this account. Overall, I'm satisfied with their services.",almost 40 years i am using indian bank savings account because it was recommended and opened this account when i was in young age they are handling the customer very well i need hold a minimum balance of rs 1000 their atm facility is available in all the places i have not faced any troubles from this account overall im satisfied with their services,Unknown,5.0,Satisfied
"2 years before, i have purchased the savings account from HDFC. When my son bought a home loan, they have given this account to me. They will calculate a average balance once in 3 months with the amount of Rs. 10000. Sometimes, i used to visit the branch for general enquiry but the branch was more crowded for most of the times.",2 years before i have purchased the savings account from hdfc when my son bought a home loan they have given this account to me they will calculate a average balance once in 3 months with the amount of rs 10000 sometimes i used to visit the branch for general enquiry but the branch was more crowded for most of the times,HDFC Bank,5.0,Satisfied
My company is having their current account in Indian Overseas bank hence they have provided me a salary account also to all the employees. I hold this account for almost 20 years and Its convenient for using the net banking facility. Frequently i used to visit their branch and the staffs are very supportive. I am maintaining a minimum balance of Rs. 1000.,my company is having their current account in indian overseas bank hence they have provided me a salary account also to all the employees i hold this account for almost 20 years and its convenient for using the net banking facility frequently i used to visit their branch and the staffs are very supportive i am maintaining a minimum balance of rs 1000,Unknown,5.0,Satisfied
"Long  back i am using savings account from HDFC Bank. Its a zero balance account since this salary cums savings, when ever i withdrawal  cash getting alert messages and this application was good.  HDFC Bank has a good customer service and they responding properly.",long back i am using savings account from hdfc bank its a zero balance account since this salary cums savings when ever i withdrawal cash getting alert messages and this application was good hdfc bank has a good customer service and they responding properly,HDFC Bank,5.0,Satisfied
"3 years back, i have opened the salary account from HDFC because i had my existing savings account with HDFC around 5 years before after that i have converted into salary account. I am maintaining a minimum balance of Rs. 2500. Maximum ATM withdrawal limit is Rs. 25000. They don't deduct any hidden charges.",3 years back i have opened the salary account from hdfc because i had my existing savings account with hdfc around 5 years before after that i have converted into salary account i am maintaining a minimum balance of rs 2500 maximum atm withdrawal limit is rs 25000 they dont deduct any hidden charges,HDFC Bank,3.0,Average
I am holding a savings with account with AXIS bank for more than 1.5  years. There is no hidden charges in this bank. It is a zero balance account. I am using mobile app and Net banking  it is user friendly to access. ATM and branches are near to my residence.,i am holding a savings with account with axis bank for more than 15 years there is no hidden charges in this bank it is a zero balance account i am using mobile app and net banking it is user friendly to access atm and branches are near to my residence,Axis Bank,5.0,Satisfied
"I am using VIJAYA  Bank savings account for more than 4 years. Every day i can withdraw cash from atm upto Rs.50,000 and I will receive alert messages from the bank. Also I linked this account online like Google pay and more for an easy payment. I spoke to bank executive directly it was good.",i am using vijaya bank savings account for more than 4 years every day i can withdraw cash from atm upto rs50000 and i will receive alert messages from the bank also i linked this account online like google pay and more for an easy payment i spoke to bank executive directly it was good,Unknown,5.0,Satisfied
"In Karur Vysya Bank, they are not charging me any extra amount. Bank is in near to my house so i have chosen them. I need to maintain a minimum balance of Rs. 1000. Its very good to use the net banking and mobile app and i find all the option in that. After completion of 5 transaction from other ATM, they are charging Rs. 20 for each transaction.",in karur vysya bank they are not charging me any extra amount bank is in near to my house so i have chosen them i need to maintain a minimum balance of rs 1000 its very good to use the net banking and mobile app and i find all the option in that after completion of 5 transaction from other atm they are charging rs 20 for each transaction,Unknown,5.0,Satisfied
